"failures","probs"
354,"71.2136"
355,"71.3577"
356,"71.5012"
357,"71.6441"
358,"71.7864"
359,"71.9280"
360,"72.0691"
361,"72.2096"
362,"72.3494"
363,"72.4887"
364,"72.6274"
365,"72.7655"
366,"72.9030"
367,"73.0399"
368,"73.1762"
369,"73.3119"
370,"73.4471"
371,"73.5816"
372,"73.7156"
373,"73.8490"
374,"73.9818"
375,"74.1140"
376,"74.2457"
377,"74.3768"
378,"74.5073"
379,"74.6372"
380,"74.7666"
381,"74.8954"
382,"75.0237"
383,"75.1513"
384,"75.2784"
385,"75.4050"
386,"75.5310"
387,"75.6564"
388,"75.7813"
389,"75.9056"
390,"76.0293"
391,"76.1525"
392,"76.2752"
393,"76.3973"
394,"76.5189"
395,"76.6399"
396,"76.7604"
397,"76.8803"
398,"76.9997"
399,"77.1185"
400,"77.2368"
401,"77.3546"
402,"77.4719"
403,"77.5886"
404,"77.7048"
405,"77.8204"
406,"77.9356"
407,"78.0502"
408,"78.1642"
409,"78.2778"
410,"78.3908"
411,"78.5034"
412,"78.6154"
413,"78.7269"
414,"78.8378"
415,"78.9483"
416,"79.0583"
417,"79.1677"
418,"79.2766"
419,"79.3851"
420,"79.4930"
421,"79.6004"
422,"79.7074"
423,"79.8138"
424,"79.9198"
425,"80.0252"
426,"80.1302"
427,"80.2346"
428,"80.3386"
429,"80.4421"
430,"80.5451"
431,"80.6476"
432,"80.7497"
433,"80.8512"
434,"80.9523"
435,"81.0529"
436,"81.1530"
437,"81.2527"
438,"81.3519"
439,"81.4506"
440,"81.5488"
441,"81.6466"
442,"81.7439"
443,"81.8407"
444,"81.9371"
445,"82.0331"
446,"82.1285"
447,"82.2235"
448,"82.3181"
449,"82.4122"
450,"82.5059"
451,"82.5991"
452,"82.6918"
453,"82.7841"
454,"82.8760"
455,"82.9674"
456,"83.0584"
457,"83.1490"
458,"83.2391"
459,"83.3288"
460,"83.4180"
461,"83.5068"
462,"83.5952"
463,"83.6831"
464,"83.7706"
465,"83.8577"
466,"83.9444"
467,"84.0306"
468,"84.1165"
469,"84.2019"
470,"84.2869"
471,"84.3714"
472,"84.4556"
473,"84.5393"
474,"84.6227"
475,"84.7056"
476,"84.7881"
477,"84.8702"
478,"84.9520"
479,"85.0333"
480,"85.1142"
481,"85.1947"
482,"85.2748"
483,"85.3545"
484,"85.4338"
485,"85.5127"
486,"85.5913"
487,"85.6694"
488,"85.7472"
489,"85.8245"
490,"85.9015"
491,"85.9781"
492,"86.0544"
493,"86.1302"
494,"86.2057"
495,"86.2807"
496,"86.3555"
497,"86.4298"
498,"86.5038"
499,"86.5773"
500,"86.6506"
501,"86.7234"
502,"86.7959"
503,"86.8680"
504,"86.9398"
505,"87.0112"
506,"87.0823"
507,"87.1529"
508,"87.2233"
509,"87.2932"
510,"87.3629"
511,"87.4321"
512,"87.5011"
513,"87.5696"
514,"87.6378"
515,"87.7057"
516,"87.7732"
517,"87.8404"
518,"87.9073"
519,"87.9738"
520,"88.0400"
521,"88.1058"
522,"88.1713"
523,"88.2364"
524,"88.3013"
525,"88.3658"
526,"88.4299"
527,"88.4938"
528,"88.5573"
529,"88.6205"
530,"88.6833"
531,"88.7459"
532,"88.8081"
533,"88.8700"
534,"88.9316"
535,"88.9928"
536,"89.0538"
537,"89.1144"
538,"89.1747"
539,"89.2348"
540,"89.2945"
541,"89.3538"
542,"89.4129"
543,"89.4717"
544,"89.5302"
545,"89.5884"
546,"89.6462"
547,"89.7038"
548,"89.7611"
549,"89.8181"
550,"89.8747"
551,"89.9311"
552,"89.9872"
553,"90.0430"
554,"90.0985"
555,"90.1538"
556,"90.2087"
557,"90.2633"
558,"90.3177"
559,"90.3718"
560,"90.4256"
561,"90.4791"
562,"90.5323"
563,"90.5853"
564,"90.6379"
565,"90.6903"
566,"90.7425"
567,"90.7943"
568,"90.8459"
569,"90.8972"
570,"90.9482"
571,"90.9990"
572,"91.0495"
573,"91.0998"
574,"91.1497"
575,"91.1994"
576,"91.2489"
577,"91.2981"
578,"91.3470"
579,"91.3957"
580,"91.4441"
581,"91.4922"
582,"91.5401"
583,"91.5878"
584,"91.6352"
585,"91.6823"
586,"91.7292"
587,"91.7758"
588,"91.8222"
589,"91.8684"
590,"91.9143"
591,"91.9599"
592,"92.0054"
593,"92.0505"
594,"92.0955"
595,"92.1402"
596,"92.1846"
597,"92.2288"
598,"92.2728"
599,"92.3166"
600,"92.3601"
601,"92.4034"
602,"92.4464"
603,"92.4892"
604,"92.5318"
605,"92.5742"
606,"92.6163"
607,"92.6582"
608,"92.6999"
609,"92.7414"
610,"92.7826"
611,"92.8236"
612,"92.8644"
613,"92.9050"
614,"92.9453"
615,"92.9855"
616,"93.0254"
617,"93.0651"
618,"93.1046"
619,"93.1439"
620,"93.1829"
621,"93.2218"
622,"93.2605"
623,"93.2989"
624,"93.3371"
625,"93.3751"
626,"93.4130"
627,"93.4506"
628,"93.4880"
629,"93.5252"
630,"93.5622"
631,"93.5990"
632,"93.6356"
633,"93.6720"
634,"93.7082"
635,"93.7442"
636,"93.7800"
637,"93.8157"
638,"93.8511"
639,"93.8863"
640,"93.9214"
641,"93.9562"
642,"93.9909"
